"CODGEO";"REG";"DEP";"ARR";"CV";"ZE2010";"LIBGEO";"P10_POP";"P99_POP";"D90_POP";"D82_POP";"D75_POP";"D68_POP";"SUPERF";"NAIS9910";"NAIS9099";"NAIS8290";"NAIS7582";"NAIS6875";"DECE9910";"DECE9099";"DECE8290";"DECE7582";"DECE6875";"NAIS11";"NAIS10";"NAIS09";"NAIS08";"NAIS07";"NAIS06";"NAIS05";"NAIS04";"NAIS03";"NAIS02";"NAIS01";"NAIS00";"NAIS99";"DECE11";"DECE10";"DECE09";"DECE08";"DECE07";"DECE06";"DECE05";"DECE04";"DECE03";"DECE02";"DECE01";"DECE00";"DECE99";"P10_POP0014";"P10_POP1529";"P10_POP3044";"P10_POP4559";"P10_POP6074";"P10_POP75P";"P99_POP0014";"P99_POP1529";"P99_POP3044";"P99_POP4559";"P99_POP6074";"P99_POP75P";"P10_POPH";"P10_H0014";"P10_H1529";"P10_H3044";"P10_H4559";"P10_H6074";"P10_H7589";"P10_H90P";"P10_H0019";"P10_H2064";"P10_H65P";"P10_POPF";"P10_F0014";"P10_F1529";"P10_F3044";"P10_F4559";"P10_F6074";"P10_F7589";"P10_F90P";"P10_F0019";"P10_F2064";"P10_F65P";"C10_POP15P";"C10_POP15P_CS1";"C10_POP15P_CS2";"C10_POP15P_CS3";"C10_POP15P_CS4";"C10_POP15P_CS5";"C10_POP15P_CS6";"C10_POP15P_CS7";"C10_POP15P_CS8";"C99_POP15P";"C99_POP15P_CS1";"C99_POP15P_CS2";"C99_POP15P_CS3";"C99_POP15P_CS4";"C99_POP15P_CS5";"C99_POP15P_CS6";"C99_POP15P_CS7";"C99_POP15P_CS8";"C10_H15P";"C10_H15P_CS1";"C10_H15P_CS2";"C10_H15P_CS3";"C10_H15P_CS4";"C10_H15P_CS5";"C10_H15P_CS6";"C10_H15P_CS7";"C10_H15P_CS8";"C10_F15P";"C10_F15P_CS1";"C10_F15P_CS2";"C10_F15P_CS3";"C10_F15P_CS4";"C10_F15P_CS5";"C10_F15P_CS6";"C10_F15P_CS7";"C10_F15P_CS8";"C10_POP1524";"C10_POP1524_CS1";"C10_POP1524_CS2";"C10_POP1524_CS3";"C10_POP1524_CS4";"C10_POP1524_CS5";"C10_POP1524_CS6";"C10_POP1524_CS7";"C10_POP1524_CS8";"C10_POP2554";"C10_POP2554_CS1";"C10_POP2554_CS2";"C10_POP2554_CS3";"C10_POP2554_CS4";"C10_POP2554_CS5";"C10_POP2554_CS6";"C10_POP2554_CS7";"C10_POP2554_CS8";"C10_POP55P";"C10_POP55P_CS1";"C10_POP55P_CS2";"C10_POP55P_CS3";"C10_POP55P_CS4";"C10_POP55P_CS5";"C10_POP55P_CS6";"C10_POP55P_CS7";"C10_POP55P_CS8"
"13201";"93";"13";"133";"1399";"9310";"Marseille 1er Arrondissement";39349;37388;35524;44673;46247;51419;2;7790;;;;;3502;;;;;622;699;704;727;776;739;731;783;727;730;690;632;551;254;305;301;283;266;308;294;317;301;329;307;369;427;6949;9362;8960;7017;4637;2424;6367;8875;8170;6771;4543;2662;19641;3571;4391;4538;3556;2611;902;72;4891;12246;2504;19708;3378;4971;4422;3461;2026;1282;169;4918;12274;2516;32389;3;1130;3632;4358;5309;3265;5722;8970;30813;20;1249;2530;3462;4629;3449;5797;9677;16080;3;791;2052;2032;1832;2748;3033;3589;16309;0;339;1580;2326;3477;517;2690;5382;6197;0;52;92;440;882;432;0;4301;16989;3;814;2999;3485;3894;2406;62;3326;9203;0;265;541;433;533;428;5660;1343
"13202";"93";"13";"133";"1399";"9310";"Marseille 2e Arrondissement";25495;24582;26801;31326;32974;39743;5;4584;;;;;2493;;;;;449;437;444;445;421;441;426;428;408;416;417;378;360;201;198;198;217;237;232;211;221;253;233;244;229;218;4412;5440;5735;4629;3218;2061;4350;5069;5107;4633;3351;2072;13035;2301;2874;3013;2388;1634;778;47;3083;8111;1841;12460;2111;2567;2722;2240;1584;1079;157;2814;7392;2253;21085;7;625;1613;2304;3839;2679;4658;5358;20148;23;580;931;1647;3280;2254;4397;7036;10736;7;489;985;1155;1393;2204;2283;2219;10348;0;136;628;1149;2446;475;2375;3139;3347;0;50;63;229;586;324;0;2095;10995;7;390;1326;1815;2841;2079;102;2436;6742;0;185;224;261;413;276;4556;828
"13203";"93";"13";"133";"1399";"9310";"Marseille 3e Arrondissement";44975;41707;42414;42198;45431;53633;3;10167;;;;;3623;;;;;1046;1082;1030;988;1107;990;996;982;913;900;819;737;705;298;293;304;325;297;280;314;334;380;350;357;305;377;10849;9611;9604;7318;4669;2924;8736;9086;8651;6710;5361;3163;21953;5511;4589;4728;3612;2428;1043;43;7084;12267;2603;23022;5337;5022;4876;3706;2241;1668;170;6939;12808;3275;34127;10;885;801;3095;6120;5118;6300;11799;32955;4;712;736;2648;6582;4756;7104;10413;16437;10;713;500;1697;1784;4367;2898;4468;17690;0;172;301;1398;4336;751;3402;7330;6487;0;34;30;295;879;621;0;4628;17999;10;742;671;2307;4598;3979;88;5604;9640;0;108;100;493;643;518;6212;1567
"13204";"93";"13";"133";"1399";"9310";"Marseille 4e Arrondissement";47911;43780;44980;50451;57434;62140;3;6994;;;;;5582;;;;;701;781;699;686;693;673;640;668;603;580;649;508;595;472;443;458;458;426;438;496;487;550;530;475;688;576;7913;9104;10031;8531;6651;5682;6138;8293;9099;7718;7125;5407;21337;3909;4259;4718;3873;2834;1609;135;5157;12744;3435;26574;4004;4845;5313;4658;3816;3539;399;5327;14904;6343;40004;15;1037;3718;5955;7644;3360;10864;7411;37820;4;972;2540;5060;7062;3436;10692;8054;17407;12;744;1969;2762;2161;2896;4241;2622;22597;3;294;1749;3193;5483;464;6623;4789;5555;6;53;118;427;960;500;0;3492;19588;0;828;3030;4767;5788;2563;34;2578;14861;10;156;570;761;896;297;10830;1341
"13205";"93";"13";"133";"1399";"9310";"Marseille 5e Arrondissement";45535;41386;40186;48371;52804;55017;2;6194;;;;;4741;;;;;652;664;632;561;646;592;579;581;534;522;523;519;505;382;381;376;359;378;395;414;405;443;477;426;426;642;6341;12271;9804;7576;5196;4347;4927;10753;8584;6471;5927;4724;20443;3266;5151;4882;3477;2156;1392;119;4585;13157;2701;25092;3075;7120;4922;4099;3039;2497;340;4862;15581;4649;39172;14;793;4362;6561;6791;3158;8507;8986;36272;2;999;3018;4966;6017;2787;9157;9326;17164;6;582;2228;2887;2135;2630;3350;3345;22008;9;210;2134;3674;4655;528;5157;5642;8248;0;14;412;684;1216;498;0;5424;19014;6;629;3468;5179;4820;2367;39;2507;11910;8;149;483;699;755;293;8468;1055
"13206";"93";"13";"133";"1399";"9310";"Marseille 6e Arrondissement";42133;41160;39263;44715;47661;53372;2;6358;;;;;3864;;;;;600;605;596;601;565;644;584;606;561;574;578;527;522;323;373;336;330;343;364;300;350;378;356;383;356;368;6161;9858;9637;7412;5174;3891;5763;9908;9046;7186;5150;4107;18792;2941;4331;4653;3398;2161;1211;98;3900;12365;2528;23341;3221;5527;4984;4014;3013;2304;278;4582;14390;4369;35965;10;1230;5941;6315;5384;2276;7649;7159;35371;18;1471;4316;5287;5614;2155;7665;8845;15864;7;835;3139;2724;1689;1854;3037;2578;20101;3;395;2802;3591;3695;422;4612;4581;6131;0;33;239;591;935;341;0;3992;18349;7;924;4792;5022;3775;1710;29;2090;11484;3;273;910;702;674;224;7620;1077
"13207";"93";"13";"133";"1399";"9310";"Marseille 7e Arrondissement";35904;35973;36704;40655;47006;53957;6;4358;;;;;4483;;;;;404;446;445;411;369;392;400;388;405;409;355;390;394;350;349;351;356;408;391;398;376;450;431;373;575;374;4602;5691;7457;7156;6179;4818;4848;6225;7455;7141;5960;4344;16334;2218;2784;3599;3334;2665;1612;123;3097;9924;3314;19570;2384;2908;3858;3822;3514;2706;377;3192;11210;5168;31302;50;1151;4579;4792;4497;1752;9521;4961;31052;20;1108;3560;4244;5256;1880;8560;6424;14093;43;846;2486;2085;1348;1457;4006;1821;17209;6;305;2093;2706;3149;295;5515;3139;3511;1;54;47;278;538;255;0;2337;14360;35;844;3542;3839;3326;1264;63;1446;13432;14;253;990;674;634;233;9457;1177
"13208";"93";"13";"133";"1399";"9310";"Marseille 8e Arrondissement";78001;75346;79081;76776;74754;70606;19;8706;;;;;8236;;;;;829;903;848;825;767;768;779;736;776;746;830;816;815;779;802;802;788;739;725;800;677;797;766;715;702;725;11038;13112;13688;15959;13683;10522;11254;13254;14898;15278;12656;8006;35957;5570;6678;6436;7302;6220;3518;234;7993;20552;7412;42044;5468;6434;7252;8656;7463;6044;726;7555;23241;11248;66982;29;2308;10713;9888;8402;2716;20572;12355;64100;48;2380;8312;8896;8784;3064;17020;15596;30391;20;1613;6250;4200;2472;2246;8827;4763;36591;9;695;4463;5688;5930;470;11745;7592;8839;0;70;197;660;973;467;0;6472;28454;21;1671;8094;7507;6095;1895;191;2979;29689;8;566;2421;1721;1335;354;20381;2904
"13209";"93";"13";"133";"1399";"9310";"Marseille 9e Arrondissement";75234;72760;70832;73404;73802;66893;63;9293;;;;;7156;;;;;836;862;906;926;826;897;779;833;827;777;827;856;839;677;689;731;632;625;679;680;696;695;602;564;656;596;12054;14969;14170;14126;11430;8485;12397;15422;15256;13264;10305;6116;35789;6140;8056;7043;6437;5122;2791;199;8519;21343;5927;39445;5915;6913;7127;7689;6307;4930;565;7977;22193;9274;63173;21;1541;6938;9439;10043;4035;17322;13834;60333;12;1824;5457;8150;10111;3808;13688;17283;29695;20;1135;4246;4090;3213;3434;7360;6196;33478;1;406;2692;5349;6830;600;9962;7638;10131;0;66;177;684;1428;773;0;7004;28206;9;1091;5199;7396;7311;2780;106;4314;24835;12;384;1562;1360;1304;482;17216;2517
"13210";"93";"13";"133";"1399";"9310";"Marseille 10e Arrondissement";52567;49163;50079;54093;55260;49363;11;6971;;;;;4797;;;;;705;731;743;670;664;648;635;628;572;553;607;621;630;421;457;443;432;459;412;456;432;469;427;425;410;432;9249;10793;10247;9919;7043;5316;8803;9877;10658;8890;7308;3627;24722;4609;5222;5099;4501;3251;1941;99;6406;14284;4031;27845;4641;5571;5148;5419;3792;3006;270;6426;15774;5646;43304;18;1063;2680;6294;8674;4634;10880;9061;40292;16;1056;1752;5168;8468;4544;9124;10164;20075;14;795;1569;2977;2518;3968;4724;3511;23229;4;268;1112;3317;6156;665;6156;5551;7279;1;33;121;471;1188;798;0;4668;20737;17;852;2130;5164;6578;3347;75;2575;15288;0;179;429;659;909;490;10804;1819
